Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,categorical infant deaths,Alcohol,percentage expenditure,categorical percentage expenditure,Hepatitis B,Measles ,categorical Measles, BMI ,under-five deaths ,categorical under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,categorical Income composition of resources,Schooling
Maldives,2013,Developing,77.9,64,0,0,0.01,1626.591186,1000+,99,0,0,25.1,0,0,99,11.16,99,0.1,7112.33575,393,13.7,13.8,0.683,f0.5-1,12.4
Georgia,2005,Developing,73.9,128,1,f1-2,4.7,9.444875415,f0-100,79,1356,10+,48.6,1,f1-2,82,8.6,82,0.1,153.57521,419,2.8,2.9,0.703,f0.5-1,12.2
Georgia,2003,Developing,72.7,132,1,f1-2,3.36,70.54185252,f0-100,48,216,10+,47.5,2,f1-2,74,8.49,75,0.1,928.18227,431,2.9,3,0.684,f0.5-1,11.8
Georgia,2007,Developing,74.4,12,1,f1-2,8.65,106.164686,f100-1000,94,44,10+,49.9,1,f1-2,88,8.17,98,0.1,2492.12878,482,2.7,2.9,0.722,f0.5-1,12.5
Israel,2002,Developing,79.3,74,1,f1-2,2.47,1701.195787,1000+,98,2,f1-10,59.2,1,f1-2,91,7.49,9,0.1,18431.15696,657,1.1,1.1,0.855,f0.5-1,15.3
Israel,2004,Developing,81,69,1,f1-2,2.23,1895.342792,1000+,99,116,10+,6.1,1,f1-2,95,7.35,95,0.1,19888.172,689,1.1,1.1,0.863,f0.5-1,15.9
Bhutan,2008,Developing,67,234,1,f1-2,0.21,302.667579,f100-1000,96,7,f1-10,18.8,1,f1-2,96,6.58,96,0.4,1795.18137,795,17.1,17.8,0,0,10.5
Seychelles,2006,Developing,72.2,185,0,0,8.12,102.373909,f100-1000,99,10,f1-10,3.7,0,0,99,3.73,99,0.1,1214.39987,846,5.9,6.3,0.728,f0.5-1,13.1
Tonga,2005,Developing,72.3,15,0,0,1.57,689.9440223,f100-1000,89,0,0,69.4,0,0,9,6.52,89,0.1,2594.74999,1141,0.1,0.1,0.694,f0.5-1,14.6
Mauritius,2010,Developing,73.3,163,0,0,2.95,0.108055973,f0-100,99,12,10+,3.7,0,0,99,5.29,99,0.2,8.376432,1254,7.2,7.2,0.74,f0.5-1,14
China,2002,Developing,72.7,16,422,30+,2.91,106.3590358,f100-1000,7,58341,10+,21.9,511,30+,86,4.79,86,0.1,1148.5857,1284,5.5,4.9,0.6,f0.5-1,9.7
Tonga,2009,Developing,72.5,147,0,0,1.08,4.783805563,f0-100,84,0,0,72.1,0,0,86,4.67,84,0.1,37.846563,1364,0.1,0.1,0.703,f0.5-1,14.5
Kiribati,2009,Developing,65.2,28,0,0,0.54,162.2903711,f100-1000,86,0,0,74.6,0,0,84,12.24,86,0.1,1297.285141,1568,0.1,0.1,0.576,f0.5-1,11.9
Sao Tome and Principe,2011,Developing,66.6,198,0,0,5.69,7.495401346,f0-100,96,0,0,27.7,0,0,96,5.44,96,0.5,134.326189,1788,6,5.9,0.546,f0.5-1,10.6
Swaziland,2002,Developing,46.4,587,3,f3-30,5.52,131.0421269,f100-1000,88,37,10+,26.7,4,f3-30,87,5.16,85,49.9,1324.996228,1893,8.6,8.8,0.502,f0.5-1,9.2
Sri Lanka,2006,Developing,73.8,145,4,f3-30,1.96,120.2471713,f100-1000,98,0,0,17.2,5,f3-30,98,4.6,98,0.1,1448.7611,1952,15.4,15.5,0.718,f0.5-1,13.1
Sri Lanka,2003,Developing,73.9,146,5,f3-30,1.69,72.4280894,f0-100,32,65,10+,15.6,5,f3-30,98,3.95,99,0.1,989.4547732,1983,15.4,15.5,0.697,f0.5-1,12.7
Sri Lanka,2010,Developing,74.5,138,3,f3-30,2.31,191.7267589,f100-1000,99,79,10+,19.8,4,f3-30,99,3.43,99,0.1,2819.511161,2119,15.3,15.3,0.739,f0.5-1,13.5
Sri Lanka,2011,Developing,74.5,141,3,f3-30,3.03,20.83302367,f0-100,99,60,10+,2.5,4,f3-30,99,3.28,99,0.1,322.992615,2271,15.3,15.3,0.746,f0.5-1,13.6
Sri Lanka,2012,Developing,74.5,143,3,f3-30,2.8,20.76877311,f0-100,99,51,10+,21.2,4,f3-30,99,3.21,99,0.1,335.521375,2425,15.3,15.2,0.752,f0.5-1,13.7
Sri Lanka,2013,Developing,74.6,142,3,f3-30,2.56,41.62053588,f0-100,99,2107,10+,21.9,3,f3-30,99,3.68,99,0.1,361.289374,2585,15.2,15.1,0.757,f0.5-1,13.8
Sri Lanka,2014,Developing,74.7,141,3,f3-30,2.37,42.7308283,f0-100,99,1686,10+,22.7,3,f3-30,99,3.5,99,0.1,382.54994,2771,15.2,15,0.76,f0.5-1,14
Vanuatu,2005,Developing,69.9,165,0,0,0.88,337.2942846,f100-1000,61,3,f1-10,44.9,0,0,67,3.87,68,0.1,1886.433359,2937,1.6,1.5,0,0,10.6
Albania,2012,Developing,76.9,86,0,0,5.14,412.4433563,f100-1000,99,9,f1-10,55.8,1,f1-2,99,5.59,99,0.1,4247.61438,2941,1.3,1.4,0.752,f0.5-1,14.2
Uruguay,2013,Developing,76.8,117,0,0,5.82,482.8039445,f100-1000,94,0,0,62.9,0,0,94,8.68,94,0.1,16881.2568,3485,1.5,1.4,0.788,f0.5-1,15.5
Albania,2002,Developing,73.3,15,1,f1-2,3.73,104.5169157,f100-1000,96,16,10+,46.9,1,f1-2,98,6.3,98,0.1,1453.642777,3511,2,2.1,0.67,f0.5-1,10.7
Iraq,2014,Developing,67.9,199,32,30+,0.01,43.5240801,f0-100,62,1317,10+,58.5,39,30+,67,5.54,64,0.1,673.74737,3568,5.3,5.1,0.658,f0.5-1,10.1
Armenia,2004,Developing,73,132,1,f1-2,3.81,97.74087744,f0-100,91,1783,10+,48.4,1,f1-2,93,5.5,91,0.1,1191.96192,3612,2,2.1,0.668,f0.5-1,10.9
Georgia,2014,Developing,74.5,125,1,f1-2,6.13,221.482875,f100-1000,91,3188,10+,55.3,1,f1-2,91,7.42,91,0.1,4429.6575,3727,2.7,2.8,0.759,f0.5-1,13.5
Bosnia and Herzegovina,2007,Developing,75.4,16,0,0,5.16,8.240355867,f0-100,94,166,10+,51.5,0,0,95,8.37,95,0.1,418.292176,3774,2.8,2.8,0.703,f0.5-1,12.9
Georgia,2013,Developing,74.5,128,1,f1-2,5.91,180.3787034,f100-1000,96,7872,10+,54.4,1,f1-2,94,7.25,93,0.1,4274.376857,3776,2.7,2.8,0.755,f0.5-1,13.5
Georgia,2012,Developing,74.2,13,1,f1-2,7.71,158.2576025,f100-1000,92,31,10+,53.6,1,f1-2,93,8.57,92,0.1,4142.869175,3825,2.6,2.8,0.749,f0.5-1,13.4
Georgia,2011,Developing,73.9,127,1,f1-2,8.14,198.94876,f100-1000,89,64,10+,52.8,1,f1-2,88,9.38,94,0.1,3725.63221,3875,2.6,2.8,0.742,f0.5-1,13.3
Georgia,2010,Developing,73.8,132,1,f1-2,7.24,194.1732658,f100-1000,95,22,10+,52,1,f1-2,88,1.5,92,0.1,2964.47734,3926,2.6,2.8,0.738,f0.5-1,13.3
Georgia,2009,Developing,73.2,133,1,f1-2,6.66,18.5314303,f0-100,54,23,10+,51.3,1,f1-2,93,1.19,88,0.1,276.588512,3978,2.6,2.8,0.734,f0.5-1,12.8
Georgia,2006,Developing,73.9,126,1,f1-2,6.18,110.1138286,f100-1000,84,334,10+,49.2,1,f1-2,89,8.39,88,0.1,1872.68416,4136,2.7,2.9,0.714,f0.5-1,12.6
Georgia,2004,Developing,72.3,134,1,f1-2,3.74,7.132564768,f0-100,64,6847,10+,48.1,1,f1-2,66,8.53,78,0.1,127.367228,4245,2.8,3,0.694,f0.5-1,12
Georgia,2002,Developing,71.7,142,2,f1-2,2.72,60.55818291,f0-100,51,199,10+,47,2,f1-2,89,8.72,84,0.1,779.3845935,4357,2.9,3,0.677,f0.5-1,11.8
Turkmenistan,2002,Developing,63.3,229,7,f3-30,2.33,130.3784829,f100-1000,96,11,10+,38.7,8,f3-30,99,3.34,98,0.1,967.917468,4612,3.5,3.5,0,0,10.2
South Africa,2004,Developing,53.7,497,55,30+,6.96,622.043809,f100-1000,76,830,10+,42.9,83,30+,73,7.93,74,29.7,4863.51688,4717.99,12.6,15,0.611,f0.5-1,12.9
Nicaragua,2001,Developing,73,193,4,f3-30,3.51,22.35595448,f0-100,87,0,0,43.5,5,f3-30,89,5.26,87,0.4,143.6758,5175,2.2,2.1,0.57,f0.5-1,10.4
Cabo Verde,2013,Developing,72.8,12,0,0,0.01,325.6298627,f100-1000,94,0,0,29.7,0,0,93,4.29,93,0.2,3558.796314,5216,6.9,6.9,0.643,f0.5-1,13.6
Suriname,2006,Developing,69.3,199,0,0,4.52,72.800168,f0-100,84,0,0,51.8,0,0,84,6.22,84,0.6,527.92,5437,3.5,3.4,0.678,f0.5-1,11.5
Turkmenistan,2009,Developing,65.6,215,6,f3-30,2.35,37.88466056,f0-100,97,0,0,43.4,8,f3-30,97,1.88,96,0.1,436.459223,5795,3.2,3.3,0,0,10.5
Cabo Verde,2011,Developing,72.6,122,0,0,5.07,4.409153436,f0-100,9,0,0,28.2,0,0,9,4.6,9,0.3,367.429453,5867,7.3,7.2,0.632,f0.5-1,13.1
Bhutan,2001,Developing,61.7,29,1,f1-2,0.14,8.574029812,f0-100,89,756,10+,14.4,1,f1-2,88,5.91,88,0.1,87.9387673,5896,18.9,19.6,0,0,7.6
Suriname,2007,Developing,69.5,22,0,0,4.72,685.0299083,f100-1000,84,0,0,52.6,0,0,84,5.92,84,0.8,5761.39536,5975,3.5,3.4,0.684,f0.5-1,11.7
Montenegro,2012,Developing,75.6,11,0,0,0.01,648.1331781,f100-1000,9,0,0,6.2,0,0,94,7.25,94,0.1,6586.71929,6261,1.9,1.9,0.797,f0.5-1,15.1
Montenegro,2011,Developing,75.4,113,0,0,6.56,666.7374371,f100-1000,91,5,f1-10,59.7,0,0,95,6.92,95,0.1,7318.742449,6279,1.9,2,0.792,f0.5-1,15.1
Israel,2000,Developing,78.9,76,1,f1-2,2.53,199.9341033,f100-1000,98,36,10+,58.3,1,f1-2,93,7.13,93,0.1,2152.1432,6289,1.1,1.1,0.845,f0.5-1,15.2
Israel,2001,Developing,79.3,74,1,f1-2,2.53,22.27332618,f0-100,96,19,10+,58.7,1,f1-2,93,7.61,92,0.1,236.19646,6439,1.1,1.1,0.85,f0.5-1,15.1
El Salvador,2004,Developing,70,215,3,f3-30,2.9,398.6058322,f100-1000,9,0,0,48.6,3,f3-30,9,7.3,9,0.3,2632.79942,6775,1.9,1.8,0.636,f0.5-1,12.4
Israel,2005,Developing,80,71,1,f1-2,2.41,250.9343317,f100-1000,96,2,f1-10,6.6,1,f1-2,95,7.44,93,0.1,2611.17931,6931,1.1,1.1,0.866,f0.5-1,15.8
Israel,2007,Developing,84,68,1,f1-2,2.33,4.3451016,f0-100,99,539,10+,61.6,1,f1-2,95,7.37,95,0.1,258.637,7181,1.1,1.1,0.872,f0.5-1,15.7
Israel,2008,Developing,81,65,1,f1-2,2.47,471.5533294,f100-1000,99,931,10+,62.1,1,f1-2,94,7.33,94,0.1,29657.4421,7388,1.1,1.1,0.877,f0.5-1,15.8
Comoros,2013,Developing,62.9,233,1,f1-2,0.01,61.57443584,f0-100,88,0,0,23.2,2,f1-2,85,6.51,87,0.8,834.341949,7415,6.8,6.6,0.49,f0-0.5,10.9
Bhutan,2011,Developing,68.3,225,0,0,0.23,289.8524057,f100-1000,95,10,f1-10,21.1,1,f1-2,95,4.73,95,0.5,2458.45976,7451,16.3,17,0.572,f0.5-1,11.9
Guyana,2011,Developing,65.6,229,0,0,7.56,536.2332523,f100-1000,93,0,0,43.2,1,f1-2,93,6.8,93,0.4,3439.597513,7491,5.6,5.3,0.624,f0.5-1,10.3
Israel,2006,Developing,84,68,1,f1-2,2.23,33.58620657,f0-100,96,9,f1-10,61.1,1,f1-2,94,7.38,95,0.1,2195.1769,7537,1.1,1.1,0.87,f0.5-1,15.7
Tajikistan,2006,Developing,65.9,183,10,f3-30,0.38,2.626234903,f0-100,88,3,f1-10,34.1,12,f3-30,76,5.7,83,0.3,44.2872665,7557,3.8,3.9,0.579,f0.5-1,10.7
Benin,2004,Developing,56.1,285,25,f3-30,1.15,10.73628066,f0-100,75,262,10+,2.1,39,30+,74,4.56,72,2.1,583.493514,7754,8.9,8.8,0.423,f0-0.5,8.1
Israel,2012,Developing,81.8,6,1,f1-2,2.78,3830.184587,1000+,97,211,10+,63.8,1,f1-2,94,7.73,94,0.1,32569.59683,7915,1.2,1.1,0.889,f0.5-1,15.9
Seychelles,2001,Developing,72,187,0,0,6.72,643.7035752,f100-1000,96,0,0,27.6,0,0,96,4.45,96,0.1,7663.1378,8122,6.2,6.6,0.714,f0.5-1,12.2
Ethiopia,2007,Developing,58.5,39,186,30+,1.06,30.46451811,f0-100,47,1446,10+,14.5,286,30+,61,4.69,5,2.8,243.326822,8149,11.3,11,0.362,f0-0.5,7.1
Azerbaijan,2004,Developing,68.4,154,6,f3-30,0.62,8.59680496,f0-100,5,827,10+,44.2,8,f3-30,78,7.92,77,0.1,145.2163,8365,3,3,0.668,f0.5-1,11
Kiribati,2000,Developing,64.1,222,0,0,0.46,11.07543331,f0-100,9,0,0,67.9,0,0,9,8.12,9,0.1,796.7937634,8446,0.2,0.2,0,0,10
Seychelles,2007,Developing,72.2,185,0,0,8.12,916.4741775,f100-1000,99,1,f1-10,31.2,0,0,99,3.3,99,0.1,12154.82994,8533,5.9,6.3,0.733,f0.5-1,13.1
Israel,2013,Developing,82.1,61,1,f1-2,2.69,4279.895512,1000+,97,50,10+,64.2,1,f1-2,96,7.89,96,0.1,36393.66932,8595,1.2,1.1,0.891,f0.5-1,15.9
Seychelles,2012,Developing,72.7,174,0,0,0.01,177.2633961,f100-1000,99,0,0,34.8,0,0,98,4.8,98,0.1,12845.17363,8833,5.7,6.1,0.755,f0.5-1,13.5
Djibouti,2007,Developing,59.8,296,1,f1-2,0.45,20.86878709,f0-100,25,24,10+,3.9,2,f1-2,88,7.72,88,3.5,147.586896,8942,5.8,5.7,0.416,f0-0.5,4.5
Seychelles,2010,Developing,72.4,18,0,0,6.51,16.49232317,f0-100,99,0,0,33.5,0,0,99,3.59,99,0.1,184.68447,8977,5.8,6.2,0.74,f0.5-1,13.2
Kiribati,2006,Developing,65,212,0,0,0.76,18.19457876,f0-100,88,0,0,72.8,0,0,86,1.93,86,0.1,1151.555618,9426,0.2,0.1,0.576,f0.5-1,12.1
Kiribati,2004,Developing,64.8,214,0,0,0.48,10.6242741,f0-100,67,0,0,71.4,0,0,61,1.39,62,0.1,113.6286,9542,0.2,0.2,0,0,12.4
Kiribati,2008,Developing,65.1,21,0,0,0.46,167.6201552,f100-1000,83,0,0,74.1,0,0,74,12.23,82,0.1,1413.3234,9844,0.2,0.1,0.572,f0.5-1,11.6
Tonga,2000,Developing,71.6,158,0,0,1.24,40.49128897,f0-100,93,0,0,65.5,0,0,91,4.75,91,0.1,263.27236,9882,0.1,0.1,0.676,f0.5-1,13.7
Kiribati,2014,Developing,66.1,2,0,0,0.01,97.87193319,f0-100,75,0,0,77.1,0,0,79,1.21,75,0.1,1684.54274,11458,0.1,0.1,0.597,f0.5-1,11.9
Tonga,2006,Developing,72.4,148,0,0,1.79,503.5881956,f100-1000,89,0,0,7.1,0,0,89,5.61,88,0.1,2892.522663,11689,0.1,0.1,0.695,f0.5-1,14.6
Tunisia,2004,Developing,74,15,3,f3-30,1.36,379.7659054,f100-1000,96,1,f1-10,51.4,4,f3-30,97,5.63,97,0.1,3112.83529,11761,6.4,6.3,0.673,f0.5-1,13.6
Mauritius,2004,Developing,71.9,168,0,0,4.16,509.3899943,f100-1000,98,28,10+,27.5,0,0,98,4.29,98,0.1,5229.876738,12213,7.8,7.7,0.696,f0.5-1,12.8
Tonga,2007,Developing,72.5,146,0,0,2.05,568.8692813,f100-1000,87,0,0,7.8,0,0,88,5.82,87,0.1,2932.315883,12357,0.1,0.1,0.698,f0.5-1,14.5
Kiribati,2010,Developing,65.3,27,0,0,0.48,18.21661422,f0-100,91,0,0,75.2,0,0,95,1.52,91,0.1,1493.1651,12652,0.1,0.1,0.584,f0.5-1,11.9
Dominican Republic,2011,Developing,73.1,16,6,f3-30,5.91,843.7876995,f100-1000,8,2,f1-10,54.7,7,f3-30,84,4.22,84,0.7,5759.643,12795,3.3,3.2,0.703,f0.5-1,13
China,2003,Developing,73.1,13,391,30+,2.96,122.9365349,f100-1000,75,71879,10+,22.6,467,30+,87,4.82,86,0.1,1288.642924,12884,5.3,4.7,0.61,f0.5-1,9.9
China,2006,Developing,74.2,98,307,30+,3.28,29.74342979,f0-100,91,99602,10+,24.9,360,30+,94,4.52,93,0.1,299.229676,13112,4.8,4.3,0.646,f0.5-1,11
Trinidad and Tobago,2010,Developing,74,179,0,0,6.5,1389.772683,1000+,9,0,0,42,0,0,91,5.29,9,0.4,16683.94578,13281,5.9,6.3,0.772,f0.5-1,12.5
China,2005,Developing,73.9,99,332,30+,2.92,171.6596026,f100-1000,84,124219,10+,24.1,392,30+,87,4.66,87,0.1,1753.4178,13372,5,4.4,0.634,f0.5-1,10.6
Estonia,2008,Developing,74.2,167,0,0,16.99,225.0723618,f100-1000,94,0,0,56.7,0,0,95,6.6,95,0.1,1894.5485,13379,2,2.1,0.835,f0.5-1,16.1
Senegal,2011,Developing,64.9,26,20,f3-30,0.32,1.431051664,f0-100,92,18,10+,22.2,31,30+,89,4.42,92,0.4,18.25321,13391,1.2,1.1,0.455,f0-0.5,7.9
Estonia,2007,Developing,73,189,0,0,17.87,1904.12469,1000+,95,1,f1-10,56.3,0,0,95,5.16,95,0.1,16586.452,13468,2,2.1,0.829,f0.5-1,16.1
Ecuador,2002,Developing,73.6,157,8,f3-30,3.88,187.3843511,f100-1000,75,0,0,45.1,10,f3-30,88,4.62,88,0.3,2183.966796,13726,1.5,1.4,0.675,f0.5-1,12.5
Trinidad and Tobago,2007,Developing,69.7,187,0,0,6.37,136.8836683,f100-1000,89,0,0,39.3,0,0,9,4.82,88,0.7,1653.1844,13926,6.1,6.5,0.76,f0.5-1,12.4
Tonga,2010,Developing,72.8,142,0,0,1.24,471.8307668,f100-1000,82,0,0,72.7,0,0,84,4.59,82,0.1,3547.59975,14137,0.1,0.1,0.707,f0.5-1,14.4
Benin,2013,Developing,59.5,251,25,f3-30,0.01,87.4080423,f0-100,77,637,10+,24.6,39,30+,73,4.59,77,1.2,915.2674586,14451,7.2,7.1,0.466,f0-0.5,10.3
Tonga,2011,Developing,72.9,14,0,0,0.96,7.033980828,f0-100,82,0,0,73.3,0,0,84,4.6,82,0.1,445.18866,14577,0.1,0.1,0.712,f0.5-1,14.4
Kiribati,2011,Developing,65.5,26,0,0,0.53,30.46703899,f0-100,95,0,0,75.7,0,0,95,1.42,99,0.1,1692.613277,14656,0.1,0.1,0.585,f0.5-1,11.9
Cambodia,2009,Developing,66.1,195,15,f3-30,2.13,48.35423978,f0-100,92,4779,10+,15.9,17,f3-30,95,6.36,94,0.6,738.2326684,14928,11.1,11.4,0.52,f0.5-1,10.5
Tonga,2012,Developing,73,138,0,0,0.01,63.80294988,f0-100,77,0,0,73.8,0,0,79,4.51,77,0.1,451.542462,14951,0.1,0.1,0.717,f0.5-1,14.4
Tonga,2013,Developing,73.2,137,0,0,0.01,584.9449886,f100-1000,82,0,0,74.3,0,0,84,4.98,82,0.1,4266.557174,15328,0.1,0.1,0.718,f0.5-1,14.3
Sao Tome and Principe,2005,Developing,64.3,222,0,0,5.27,10.8139134,f0-100,96,0,0,23.4,0,0,97,1.4,97,1.6,81.86157,15563,7,7,0.514,f0.5-1,10
Kazakhstan,2008,Developing,66.6,258,8,f3-30,7.6,708.3285785,f100-1000,99,20,10+,47.9,9,f3-30,99,3.65,99,0.1,8513.564645,15674,2.4,2.5,0.758,f0.5-1,14.6
Tonga,2014,Developing,73.3,135,0,0,0.01,565.9672173,f100-1000,8,0,0,74.8,0,0,82,5.18,8,0.1,4192.349758,15782,0.1,0.1,0.716,f0.5-1,14.3
Pakistan,2004,Developing,63.7,183,364,30+,0.01,28.98323119,f0-100,65,4248,10+,18.4,461,30+,65,2.56,65,0.1,649.848233,15783,21.4,21.8,0.474,f0-0.5,5.6
Sao Tome and Principe,2007,Developing,65.1,217,0,0,4.14,49.93698173,f0-100,87,0,0,24.7,0,0,98,7.44,97,1.2,894.927988,16311,6.7,6.6,0.527,f0.5-1,10.3
Gabon,2010,Developing,62.3,294,2,f1-2,8.85,145.318282,f100-1000,67,1,f1-10,33.5,3,f3-30,68,3.41,67,7,8754.113376,16421,6.5,6.4,0.66,f0.5-1,12.5
Kiribati,2012,Developing,65.7,24,0,0,0.01,147.4549755,f100-1000,94,0,0,76.2,0,0,92,1.37,94,0.1,1763.815497,16613,0.1,0.1,0.581,f0.5-1,11.9
Mali,2012,Developing,57.2,27,53,30+,0.01,96.5465827,f0-100,66,341,10+,21.9,88,30+,72,6.47,66,1.5,777.3476868,16667,8.3,8.1,0.411,f0-0.5,7.7
Samoa,2000,Developing,72,18,0,0,3,21.2543002,f0-100,89,0,0,65.6,0,0,94,5.31,95,0.1,154.68923,17461,0.2,0.2,0.64,f0.5-1,12.1
Timor-Leste,2008,Developing,66.2,168,2,f1-2,0.06,36.69198927,f0-100,79,0,0,14.7,3,f3-30,79,0.74,79,0.1,643.71911,17811,11.7,11.7,0.566,f0.5-1,11.7
Sao Tome and Principe,2009,Developing,65.8,21,0,0,4.13,11.13608747,f0-100,98,0,0,26.2,0,0,99,6.65,98,0.9,199.57146,17813,6.3,6.2,0.533,f0.5-1,10.1
Samoa,2006,Developing,72,153,0,0,3.52,40.22855669,f0-100,35,0,0,7.3,0,0,37,4.68,39,0.1,287.963899,18194,0.2,0.2,0.677,f0.5-1,12.7
Kiribati,2013,Developing,65.8,22,0,0,0.01,137.2591943,f100-1000,95,0,0,76.7,0,0,91,1.15,95,0.1,1724.361737,18535,0.1,0.1,0.589,f0.5-1,11.9
Vanuatu,2000,Developing,69,18,0,0,1.21,21.90075232,f0-100,7,9,f1-10,41.1,0,0,67,3.28,71,0.1,1469.849149,18563,1.7,1.7,0,0,9.6
Greece,2000,Developing,78.2,84,1,f1-2,8.48,122.1823517,f100-1000,89,56,10+,57.4,1,f1-2,89,7.6,89,0.1,1242.95373,18588,0.9,0.8,0.794,f0.5-1,13.9
Samoa,2010,Developing,72.6,144,0,0,3.01,434.7940679,f100-1000,57,8,f1-10,72.5,0,0,57,5.7,62,0.1,3453.487434,18625,0.2,0.2,0.69,f0.5-1,12.9
Sao Tome and Principe,2013,Developing,67.1,192,0,0,0.01,200.6600988,f100-1000,97,0,0,29.3,0,0,97,9.76,97,0.2,1619.532678,18745,5.7,5.5,0.559,f0.5-1,11
Vanuatu,2001,Developing,69.1,179,0,0,0.91,163.105292,f100-1000,68,7,f1-10,41.9,0,0,67,3.37,7,0.1,1362.61731,18929,1.7,1.6,0,0,10.1
Cameroon,2008,Developing,54.2,382,56,30+,5.9,68.7073044,f0-100,84,495,10+,24.9,87,30+,82,5.18,84,6.7,1233.524316,18978,6.4,6.5,0.466,f0-0.5,8.8
Timor-Leste,2009,Developing,66.6,165,2,f1-2,0.09,36.199487,f0-100,72,10,f1-10,15.1,3,f3-30,78,1.2,72,0.1,757.3114436,19221,11.6,11.6,0.599,f0.5-1,12.1
Greece,2002,Developing,79,81,1,f1-2,8.09,160.8897265,f100-1000,91,5,f1-10,58.6,1,f1-2,92,8.72,92,0.1,1411.31339,19222,0.8,0.8,0.811,f0.5-1,14.6
Sri Lanka,2004,Developing,69.1,197,6,f3-30,1.56,15.35342268,f0-100,62,35,10+,16.1,10,f3-30,97,4.28,97,0.1,174.6692,19228,15.4,15.5,0.705,f0.5-1,12.8
Samoa,2014,Developing,73.8,128,0,0,0.01,660.2777923,f100-1000,56,0,0,74.3,0,0,58,7.22,63,0.1,4178.973369,19229,0.2,0.1,0.701,f0.5-1,12.9
Greece,2003,Developing,79.1,81,0,0,9.46,2124.921517,1000+,92,0,0,59.2,1,f1-2,93,8.61,94,0.1,18477.57841,19287,0.8,0.8,0.823,f0.5-1,15.2
